"","FAULT_TYPE","rules","support","confidence","lift","itemset","improvement","rel_improvement","FAULT_COUNT","MODEL","AGE","DEALERSHIP","CUSTOMER_TYPE","USER_CUSTOMISED","COUNTRY","GEO_TYPE","COMPRESSED","OBJECT_COUNT","FAULT_RATE","AGGREGATION_LEVEL","MIN_RANK","MAX_RANK","SIMPLE_COMBI","AVG_FAULT_RATE","PS_RATIO","LIFT","CHI_SQUARE","BINOMIAL_TEST","ZHANG","row_num","SET_SIZE","min_imp_psr","min_imp_chi","min_imp_bin","min_improvement","min_improvement_adj","max_improvement","LIST_ID","classification","rules_attributes","count_neg","COMBI","suppressed"
"7","AirConditioning","{AGE=InWarranty,MODEL=Opal,USER_CUSTOMISED=N}=>{FAULT_TYPE=AirConditioning}",1.494222e-05,0.001668216,24.91577,5524,0.0009985952,0.5986005,366,"Opal","InWarranty","*","*","N","*","*",FALSE,219396,0.001668216,4,146366.5,165327.5,155847,0.066446963,2.39339853400421e-08,25.105978131762,2.31883652185866e-08,92.0430726483126,0.968540004932683,350,3,1.42839415810811e-08,1.35506828311185e-08,36.8891341836585,0.598600421048593,1.2912840283085,0.953707025948678,371,1,";10;11;14;1",0,0,FALSE
"12","BreakFluid","{AGE=InWarranty,USER_CUSTOMISED=Y}=>{FAULT_TYPE=BreakFluid}",3.400785e-05,0.01169517,63.05646,1283,0.008372541,0.7158975,833,"*","InWarranty","*","*","Y","*","*",FALSE,71226,0.01169517,5,157587,165735,161661,0.182130167,3.91533731684689e-07,64.2132502958722,3.86560441616521e-07,227.697307256959,0.987011279435921,945,2,2.2190782612461e-07,2.23583256675672e-07,80.8432305902702,0.715897588491659,2.31985925419455,0.829965789295923,1000,1,";11;14;1",0,0,FALSE
"13","BreakFluid","{AGE=InWarranty,MODEL=Ultima}=>{FAULT_TYPE=BreakFluid}",4.372437e-05,0.006393228,34.47016,1315,0.004404649,0.6889553,1071,"Ultima","InWarranty","*","*","*","*","*",FALSE,167521,0.006393228,5,151371,165719,158545,0.182130167,2.7157633975629e-07,35.1025209349311,2.65656562069417e-07,188.387294101473,0.97767589147571,963,2,1.3117255143321e-07,1.31495727655902e-07,61.473971311002,0.688955407190233,2.01497392937508,0.806402024141795,1024,1,";10;11;1",0,0,FALSE
"14","BreakFluid","{AGE=InWarranty,MODEL=Ultima,CUSTOMER_TYPE=Private}=>{FAULT_TYPE=BreakFluid}",4.102988e-05,0.006402171,34.51838,5997,8.942693e-06,0.001396822,1005,"Ultima","InWarranty","*","Private","*","*","*",FALSE,156978,0.006402171,4,151385,165718,158551.5,0.182130167,2.5520752897309e-07,35.1516231794813,2.49546587981725e-07,182.625425702997,0.977293144150734,1143,3,-1.63688107832002e-08,-1.61099740876924e-08,-5.76186839847622,0.00139686990553673,-0.198599980569341,0.962538238981746,1224,1,";10;11;13;1",0,0,FALSE
"17","BreakPad","{AGE=InWarranty,DEALERSHIP=VWDealer}=>{FAULT_TYPE=BreakPad}",5.891155e-05,0.004516361,16.83282,1548,0.002630484,0.5824345,1443,"*","InWarranty","VWDealer","*","*","*","*",FALSE,319505,0.004516361,5,138446,165665,152055.5,0.266306969,2.50377270549958e-07,16.9592294822746,2.38727756748826e-07,147.231199536505,0.953023531564042,1211,2,1.53246764689394e-07,1.52573350361202e-07,59.6278857049363,0.582434397958888,1.19483389404789,0.874318217697832,1293,1,";11;12;1",0,0,FALSE
"34","BreakPad","{AGE=InWarranty,DEALERSHIP=VWDealer,CUSTOMER_TYPE=Private}=>{FAULT_TYPE=BreakPad}",5.515558e-05,0.005019301,18.70732,6605,0.0005029395,0.1002011,1351,"*","InWarranty","VWDealer","Private","*","*","*",FALSE,269161,0.005019301,4,140886,165666,153276,0.266306969,2.62154142516343e-07,18.8478019138883,2.51003369010656e-07,151.126249695363,0.957061848976775,1657,3,1.1776871966385e-08,1.22756122618293e-08,3.89505015885774,0.100201203314964,-0.0886397385144551,0.909424639008499,1739,1,";11;12;13;1",0,0,FALSE
"39","EngineControl","{AGE=InWarranty,DEALERSHIP=VWFranchise,USER_CUSTOMISED=Y}=>{FAULT_TYPE=EngineControl}",1.032891e-05,0.01035188,197.9411,5072,0.00594338,0.5741352,253,"*","InWarranty","VWFranchise","*","Y","*","*",FALSE,24440,0.01035188,4,162966,165734,164350,0.051751962,1.06389095492979e-07,200.028744803917,1.05962971699251e-07,223.841729433281,0.995941725132427,1986,3,5.05386840465659e-08,5.06072036425675e-08,62.2087980132378,0.574135036341225,1.14816877014787,0.989690143239682,2072,1,";11;12;14;1",0,0,FALSE
"40","EngineControl","{AGE=InWarranty,USER_CUSTOMISED=Y}=>{FAULT_TYPE=EngineControl}",1.281928e-05,0.004408503,84.29617,1027,0.00316032,0.7168693,314,"*","InWarranty","*","*","Y","*","*",FALSE,71226,0.004408503,5,159666,165680,162673,0.051751962,5.58504114464126e-08,85.1852341366304,5.53557680566832e-08,161.632931420043,0.99101880341618,2185,2,3.15743674033774e-08,3.17017466668328e-08,56.684896218171,0.71686942256816,2.33194102649423,0.849737677392983,2280,1,";11;14;1",0,0,FALSE
"41","EngineControl","{AGE=InWarranty,MODEL=Hopper,CUSTOMER_TYPE=Other}=>{FAULT_TYPE=EngineControl}",1.22069e-05,0.00534989,102.2967,5119,0.004244271,0.7933381,299,"Hopper","InWarranty","*","Other","*","*","*",FALSE,55889,0.00534989,4,160686.5,165706.5,163196.5,0.051751962,6.46738412160622e-08,103.375597624685,6.41946858473232e-08,174.114230261495,0.992489085451029,2194,3,3.49006009013682e-08,3.50708778669606e-08,58.2140680405891,0.793337993865295,3.63882034364482,0.984692176848496,2289,1,";10;11;13;1",0,0,FALSE
"43","Exhaust","{AGE=InWarranty,USER_CUSTOMISED=N}=>{FAULT_TYPE=Exhaust}",3.817207e-05,0.001683053,11.00221,1241,0.0004814325,0.2860471,935,"*","InWarranty","*","*","N","*","*",FALSE,555538,0.001683053,5,127244,165389,146316.5,0.150783493,5.84898988800695e-08,11.1620507425173,5.44855763530493e-08,93.0139074650188,0.93020649493484,2530,2,1.83343503088292e-08,1.82154422256975e-08,17.4793579381717,0.286046844632938,0.200652478722497,0.895192248847778,2633,1,";11;14;1",0,0,FALSE
