"","FAULT_TYPE","rules","support","confidence","lift","itemset","improvement","rel_improvement","FAULT_COUNT","MODEL","AGE","DEALERSHIP","CUSTOMER_TYPE","USER_CUSTOMISED","COUNTRY","GEO_TYPE","COMPRESSED","OBJECT_COUNT","FAULT_RATE","AGGREGATION_LEVEL","MIN_RANK","MAX_RANK","SIMPLE_COMBI","AVG_FAULT_RATE","PS_RATIO","LIFT","CHI_SQUARE","BINOMIAL_TEST","ZHANG","row_num","SET_SIZE","min_imp_psr","min_imp_chi","min_imp_bin","min_improvement","min_improvement_adj","max_improvement","LIST_ID","classification","rules_attributes","count_neg","COMBI"
"1","AirConditioning","{MODEL=Opal,USER_CUSTOMISED=N,COUNTRY=Portugal,GEO_TYPE=NormalUrban}=>{FAULT_TYPE=AirConditioning}",8.165149e-07,0.0003807856,5.687252,16458,0.0001049045,0.2754949,20,"Opal","*","*","*","N","Portugal","NormalUrban","FALSE",52523,0.0003807856,3,99852.5,126287.5,113070,0.066446963,2.56662180756191e-10,5.73066973730613,2.12330040681039e-10,8.83790622150577,0.825939232199755,1,4,-9.39338157820484e-09,-9.42535234678705e-09,-40.5882824332363,0.275494924177805,0.180252859814561,0.797191175296545,1,1,";10;14;15;16;1",0,0
"2","AirConditioning","{MODEL=Opal,DEALERSHIP=VWFranchise,USER_CUSTOMISED=N,COUNTRY=Austria,GEO_TYPE=Suburban}=>{FAULT_TYPE=AirConditioning}",1.020644e-06,0.0006973695,10.41562,34231,0.0001388629,0.1991238,25,"Opal","*","VWFranchise","*","N","Austria","Suburban","FALSE",35849,0.0006973695,2,120923.5,144534.5,132729,0.066446963,6.43947301853828e-10,10.4951297774136,5.8344422321439e-10,14.6551890462111,0.905315313694626,2,5,-9.0060964571072e-09,-9.0542381642537e-09,-34.770999608531,0.199123850412156,0.0486335319796125,0.889260026427884,2,1,";10;12;14;15;16;1",0,0
"3","AirConditioning","{MODEL=Opal,DEALERSHIP=Re-Import,USER_CUSTOMISED=N,COUNTRY=Austria,GEO_TYPE=NormalUrban}=>{FAULT_TYPE=AirConditioning}",4.89909e-07,0.0004733541,7.069817,34225,9.542588e-05,0.2015951,12,"Opal","*","Re-Import","*","N","Austria","NormalUrban","FALSE",25351,0.0004733541,2,95450.5,121808.5,108629.5,0.066446963,1.99347468580533e-10,7.12378833627054,1.71541640830139e-10,7.9482170103931,0.859443134260477,3,5,-9.80850106885629e-09,-9.46614074663795e-09,-47.1949182705684,0.201595169451368,0.0524975523451991,0.836852200076011,3,1,";10;12;14;15;16;1",0,0
"4","AirConditioning","{MODEL=Opal,USER_CUSTOMISED=N,COUNTRY=Austria,GEO_TYPE=NormalUrban}=>{FAULT_TYPE=AirConditioning}",7.756892e-07,0.0003026827,4.520741,16448,2.680163e-05,0.08854694,19,"Opal","*","*","*","N","Austria","NormalUrban","FALSE",62772,0.0003026827,3,91495.5,118140.5,104818,0.066446963,1.8324550984494e-10,4.55525258543419,1.43385651834579e-10,7.26115054793865,0.780798319451826,4,4,-9.46679824911609e-09,-9.49429673563351e-09,-42.1650381068035,0.0885468512075517,-0.102850679512584,0.744859286639111,4,1,";10;14;15;16;1",0,0
"5","AirConditioning","{MODEL=Opal,DEALERSHIP=Re-Import,USER_CUSTOMISED=N,COUNTRY=Portugal,GEO_TYPE=NormalUrban}=>{FAULT_TYPE=AirConditioning}",5.715605e-07,0.0005724567,8.549971,34251,0.0001916711,0.334822,14,"Opal","*","Re-Import","*","N","Portugal","NormalUrban","FALSE",24456,0.0005724567,2,103752.5,130002.5,116877.5,0.066446963,2.89215178284588e-10,8.61524250551526,2.55900502537078e-10,9.70797050151362,0.883923084000175,5,5,-9.71863335915223e-09,-9.38178188493101e-09,-45.4351647794479,0.334822004878273,0.303362731764751,0.865096032590762,5,1,";10;12;14;15;16;1",0,0
"6","AirConditioning","{MODEL=Opal,CUSTOMER_TYPE=Corporate,USER_CUSTOMISED=N,COUNTRY=Portugal,GEO_TYPE=NormalUrban}=>{FAULT_TYPE=AirConditioning}",2.857802e-07,0.0004446703,6.641408,34241,5.812294e-06,0.01307102,7,"Opal","*","*","Corporate","N","Portugal","NormalUrban","FALSE",15742,0.0004446703,2,81587.5,111304.5,96446,0.066446963,1.08088740892527e-10,6.69210871232745,9.19961997882879e-11,5.82177125292835,0.849975788479887,6,5,-9.5419550180685e-09,-9.5456861876798e-09,-43.6044174018138,0.0130710326279943,-0.186754886015827,0.826328225653928,6,1,";10;13;14;15;16;1",0,0
"7","AirConditioning","{MODEL=Opal,DEALERSHIP=VWFranchise,CUSTOMER_TYPE=Corporate,USER_CUSTOMISED=N,COUNTRY=Portugal,GEO_TYPE=Suburban}=>{FAULT_TYPE=AirConditioning}",8.165149e-08,0.001998002,29.84131,54088,0.001086009,0.5435477,2,"Opal","*","VWFranchise","Corporate","N","Portugal","Suburban","FALSE",1001,0.001998002,1,92815,149341,121078,0.066446963,1.57714346788055e-10,30.0691244534382,1.52475523998274e-10,7.49723263990888,0.966528912258136,7,6,-9.49232941217298e-09,-9.48520686346981e-09,-41.9289560148332,0.543547654106452,0.990837745634816,0.961348046698652,7,1,";10;12;13;14;15;16;1",0,0
"8","AirConditioning","{AGE=InWarranty,MODEL=Opal,DEALERSHIP=VWFranchise,CUSTOMER_TYPE=Corporate,USER_CUSTOMISED=N,COUNTRY=UnitedKingdom,GEO_TYPE=SuperRural}=>{FAULT_TYPE=AirConditioning}",4.082575e-08,0.25,3733.894,69734,0.236911,0.947644,1,"Opal","InWarranty","VWFranchise","Corporate","N","UnitedKingdom","SuperRural","FALSE",4,0.25,0,156601.5,165499.5,161050.5,0.066446963,1.02037247529003e-08,3762.39919347405,1.02010135048242e-08,61.324133446708,0.999732346384441,8,7,-1.37302605871418e-08,-1.29873517137624e-08,-30.7189392016046,0.94764396,17.9099930476025,0.99969109328,8,1,";10;11;12;13;14;15;16;1",0,0
"9","AirConditioning","{MODEL=Opal,DEALERSHIP=VWFranchise,CUSTOMER_TYPE=Private,USER_CUSTOMISED=N,COUNTRY=Switzerland,GEO_TYPE=VeryRural}=>{FAULT_TYPE=AirConditioning}",3.26606e-07,0.0007374631,11.01444,53806,9.859582e-05,0.1336959,8,"Opal","*","VWFranchise","Private","N","Switzerland","VeryRural","FALSE",10848,0.0007374631,1,98583.5,127086,112834.75,0.066446963,2.19157896441022e-10,11.0985222906275,1.99499642331721e-10,8.57402339068574,0.909612926680706,9,6,-9.43088586252001e-09,-9.43818274513637e-09,-40.8521652640564,0.133695909666531,-0.0456669378626358,0.895280618108214,9,1,";10;12;13;14;15;16;1",0,0
"10","AirConditioning","{MODEL=Opal,CUSTOMER_TYPE=Corporate,USER_CUSTOMISED=N,COUNTRY=Portugal,GEO_TYPE=Suburban}=>{FAULT_TYPE=AirConditioning}",1.592204e-06,0.0005367169,8.016177,34244,9.225984e-05,0.1718966,39,"Opal","*","*","Corporate","N","Portugal","Suburban","FALSE",72664,0.0005367169,2,117615.5,146401.5,132008.5,0.066446963,7.48765674771148e-10,8.07737292673557,6.58018561405935e-10,15.5519097841513,0.877856488650379,10,5,-8.90127808418988e-09,-8.97966382606215e-09,-33.8742788705908,0.171896580860413,0.00757909793064204,0.85611282223459,10,1,";10;13;14;15;16;1",0,0
