"","FAULT_TYPE","rules","support","confidence","lift","itemset","improvement","rel_improvement","FAULT_COUNT","MODEL","AGE","DEALERSHIP","CUSTOMER_TYPE","USER_CUSTOMISED","COUNTRY","GEO_TYPE","COMPRESSED","OBJECT_COUNT","FAULT_RATE","AGGREGATION_LEVEL","MIN_RANK","MAX_RANK","SIMPLE_COMBI","AVG_FAULT_RATE","PS_RATIO","LIFT","CHI_SQUARE","BINOMIAL_TEST","ZHANG","row_num","SET_SIZE","min_imp_psr","min_imp_chi","min_imp_bin","min_improvement","min_improvement_adj","max_improvement","LIST_ID","classification","rules_attributes","count_neg","COMBI","suppressed"
"1","AirConditioning","{AGE=InWarranty,MODEL=Quantum,DEALERSHIP=Re-Import,CUSTOMER_TYPE=Other,USER_CUSTOMISED=N,COUNTRY=Portugal,GEO_TYPE=Suburban}=>{FAULT_TYPE=AirConditioning}",4.082575e-08,0.002631579,39.30415,69694,0.0010519,0.399722,1,"Quantum","InWarranty","Re-Import","Other","N","Portugal","Suburban",FALSE,380,0.002631579,0,83853.5,152928.5,118391,0.066446963,1.04723439259553e-10,39.604202828653,1.02080765420833e-10,6.13448889115704,0.974572516197763,22,7,-1.01233955284928e-08,-9.71333259898208e-09,-53.8709793186587,0.39972199200556,0.465915832520825,0.970653862186923,23,1,";10;11;12;13;14;15;16;1",0,0,FALSE
"2","AirConditioning","{AGE=InWarranty,MODEL=Quantum,DEALERSHIP=Re-Import,CUSTOMER_TYPE=Other,USER_CUSTOMISED=N,COUNTRY=France,GEO_TYPE=NormalUrban}=>{FAULT_TYPE=AirConditioning}",4.082575e-08,0.01010101,150.8644,69693,0.008078765,0.7997978,1,"Quantum","InWarranty","Re-Import","Other","N","France","NormalUrban",FALSE,99,0.01010101,0,112137.5,162156.5,137147,0.066446963,4.09668561907803e-10,152.016127509093,4.06975265336137e-10,12.2487825302669,0.993375547322331,74,7,-9.81845040584457e-09,-9.40843809906678e-09,-47.7566856795488,0.799797742997977,3.79595878427033,0.992354558603545,80,1,";10;11;12;13;14;15;16;1",0,0,FALSE
"3","AirConditioning","{MODEL=Quantum,DEALERSHIP=Re-Import,CUSTOMER_TYPE=Other,USER_CUSTOMISED=N,COUNTRY=Portugal,GEO_TYPE=Suburban}=>{FAULT_TYPE=AirConditioning}",8.165149e-08,0.001298701,19.39685,53540,0.001112425,0.8565675,2,"Quantum","*","Re-Import","Other","N","Portugal","Suburban",FALSE,1540,0.001298701,1,82384.5,141664.5,112024.5,0.066446963,1.00615378179565e-10,19.5449263798558,9.54734595353774e-11,5.93249623518416,0.94850488565848,86,6,-3.82285690853369e-09,-2.96669267924761e-09,-24.5708616801472,0.856567447010513,5.77191833799516,0.940535442723152,92,1,";10;12;13;14;15;16;1",0,0,FALSE
"4","AirConditioning","{AGE=OutofWarranty,MODEL=Quantum,DEALERSHIP=Re-Import,CUSTOMER_TYPE=Other,USER_CUSTOMISED=N,COUNTRY=Switzerland,GEO_TYPE=missing}=>{FAULT_TYPE=AirConditioning}",4.082575e-08,1,14935.58,69688,0.9998053,0.9998053,1,"Quantum","OutofWarranty","Re-Import","Other","N","Switzerland","missing",FALSE,1,1,0,162879.5,165702.5,164291,0.066446963,4.08230372529003e-08,15049.5967738962,4.08203227997677e-08,122.672722207898,0.999933086604306,180,7,3.68995649661871e-08,3.77581566609847e-08,92.169364292567,0.9998053192,5135.41545249968,0.99992277332,188,1,";10;11;12;13;14;15;16;1",0,0,FALSE
"5","AirConditioning","{MODEL=Opal,DEALERSHIP=Re-Import,USER_CUSTOMISED=N}=>{FAULT_TYPE=AirConditioning}",3.212986e-05,0.0003779282,5.644576,5591,0.0001658426,0.4388203,787,"Opal","*","Re-Import","*","N","*","*",FALSE,2082406,0.0003779282,4,105606.5,164120.5,134863.5,0.066446963,1.00078485374368e-08,5.6876670194844,9.01466759867508e-09,55.1431352809615,0.899292875434714,194,3,3.57804778475789e-10,-6.23014788793004e-10,5.71694662621939,0.438820389693069,0.581960726598869,0.795657799550285,203,1,";10;12;14;1",0,0,FALSE
"6","AirConditioning","{MODEL=Opal,USER_CUSTOMISED=N}=>{FAULT_TYPE=AirConditioning}",6.626019e-05,0.0002120856,3.167622,1230,0.000134859,0.6358703,1623,"Opal","*","*","*","N","*","*",FALSE,7652570,0.0002120856,5,86855.5,163658.5,125257,0.066446963,9.65004375896103e-09,3.19180276154984,9.63768238746809e-09,49.4261886547421,0.995240626937109,231,2,8.92829621540529e-09,8.88029443778772e-09,43.331907860168,0.635870233528349,1.54627372298535,0.635870233528349,243,1,";10;14;1",0,0,FALSE
"7","AirConditioning","{AGE=InWarranty,MODEL=Opal,USER_CUSTOMISED=N}=>{FAULT_TYPE=AirConditioning}",1.494222e-05,0.001668216,24.91577,5524,0.0009985952,0.5986005,366,"Opal","InWarranty","*","*","N","*","*",FALSE,219396,0.001668216,4,146366.5,165327.5,155847,0.066446963,2.39339853400421e-08,25.105978131762,2.31883652185866e-08,92.0430726483126,0.968540004932683,350,3,1.42839415810811e-08,1.35506828311185e-08,36.8891341836585,0.598600421048593,1.2912840283085,0.953707025948678,371,1,";10;11;14;1",0,0,FALSE
"8","BreakFluid","{MODEL=Ultima}=>{FAULT_TYPE=BreakFluid}",0.0001330103,0.001237716,6.673353,162,Inf,Inf,3258,"Ultima","*","*","*","*","*","*",FALSE,2632268,0.001237716,6,111842,165617,138729.5,0.182130167,1.4040378832308e-07,6.79577700052293,1.34160834413515e-07,126.913322790471,0.952511246306453,431,1,0,0,0,0,0,0,455,1,";10;1",0,0,FALSE
"9","BreakFluid","{USER_CUSTOMISED=Unknown}=>{FAULT_TYPE=BreakFluid}",0.0001297442,0.001111195,5.991197,168,Inf,Inf,3178,"*","*","*","*","Unknown","*","*",FALSE,2859984,0.001111195,6,107961,165540,136750.5,0.182130167,1.20540773505719e-07,6.10110350362771,1.14106802045436e-07,116.433092595089,0.943219615396527,437,1,0,0,0,0,0,0,461,1,";14;1",0,0,FALSE
"10","BreakFluid","{AGE=InWarranty,MODEL=Ultima,DEALERSHIP=DodgyDealer,CUSTOMER_TYPE=Private,USER_CUSTOMISED=Unknown,COUNTRY=Austria,GEO_TYPE=NormalRural}=>{FAULT_TYPE=BreakFluid}",4.082575e-08,1,5391.668,71231,0.9906103,0.9906103,1,"Ultima","InWarranty","DodgyDealer","Private","Unknown","Austria","NormalRural",FALSE,1,1,0,162850,165591,164220.5,0.182130167,4.08183143993346e-08,5490.57861457954,4.08108782670661e-08,74.0916905906427,0.999814569421787,451,7,-2.30758025356956e-07,-2.24845683802351e-07,-114.295603510831,0.990610329,105.40000410025,0.9998890655,475,1,";10;11;12;13;14;15;16;1",0,0,FALSE
"11","BreakFluid","{AGE=OutofWarranty,MODEL=Quantum,DEALERSHIP=Re-Import,CUSTOMER_TYPE=Other,USER_CUSTOMISED=N,COUNTRY=Holland,GEO_TYPE=NormalRural}=>{FAULT_TYPE=BreakFluid}",4.082575e-08,0.004291845,23.14021,70819,0.004061457,0.9463194,1,"Quantum","OutofWarranty","Re-Import","Other","N","Holland","NormalRural",FALSE,233,0.004291845,0,93957,145295,119626,0.182130167,1.6778219034335e-10,23.5647123740901,1.60663625146808e-10,4.64877212316102,0.956794266050083,526,7,-1.08132369043681e-09,-2.11375487557956e-07,-1.2837368438423,0.946319380126729,17.4286983093466,0.999539182799006,551,1,";10;11;12;13;14;15;16;1",0,0,FALSE
"12","BreakFluid","{AGE=InWarranty,USER_CUSTOMISED=Y}=>{FAULT_TYPE=BreakFluid}",3.400785e-05,0.01169517,63.05646,1283,0.008372541,0.7158975,833,"*","InWarranty","*","*","Y","*","*",FALSE,71226,0.01169517,5,157587,165735,161661,0.182130167,3.91533731684689e-07,64.2132502958722,3.86560441616521e-07,227.697307256959,0.987011279435921,945,2,2.2190782612461e-07,2.23583256675672e-07,80.8432305902702,0.715897588491659,2.31985925419455,0.829965789295923,1000,1,";11;14;1",0,0,FALSE
"13","BreakFluid","{AGE=InWarranty,MODEL=Ultima}=>{FAULT_TYPE=BreakFluid}",4.372437e-05,0.006393228,34.47016,1315,0.004404649,0.6889553,1071,"Ultima","InWarranty","*","*","*","*","*",FALSE,167521,0.006393228,5,151371,165719,158545,0.182130167,2.7157633975629e-07,35.1025209349311,2.65656562069417e-07,188.387294101473,0.97767589147571,963,2,1.3117255143321e-07,1.31495727655902e-07,61.473971311002,0.688955407190233,2.01497392937508,0.806402024141795,1024,1,";10;11;1",0,0,FALSE
"14","BreakFluid","{AGE=InWarranty,MODEL=Ultima,CUSTOMER_TYPE=Private}=>{FAULT_TYPE=BreakFluid}",4.102988e-05,0.006402171,34.51838,5997,8.942693e-06,0.001396822,1005,"Ultima","InWarranty","*","Private","*","*","*",FALSE,156978,0.006402171,4,151385,165718,158551.5,0.182130167,2.5520752897309e-07,35.1516231794813,2.49546587981725e-07,182.625425702997,0.977293144150734,1143,3,-1.63688107832002e-08,-1.61099740876924e-08,-5.76186839847622,0.00139686990553673,-0.198599980569341,0.962538238981746,1224,1,";10;11;13;1",0,0,FALSE
