"","FAULT_TYPE","rules","support","confidence","lift","itemset","improvement","rel_improvement","FAULT_COUNT","MODEL","AGE","DEALERSHIP","CUSTOMER_TYPE","USER_CUSTOMISED","COUNTRY","GEO_TYPE","COMPRESSED","OBJECT_COUNT","FAULT_RATE","AGGREGATION_LEVEL","MIN_RANK","MAX_RANK","SIMPLE_COMBI","AVG_FAULT_RATE","PS_RATIO","LIFT","CHI_SQUARE","BINOMIAL_TEST","ZHANG","row_num","SET_SIZE","min_imp_psr","min_imp_chi","min_imp_bin","min_improvement","min_improvement_adj","max_improvement","LIST_ID","classification","rules_attributes","count_neg","COMBI","suppressed","min_imp_zhang","min_imp_lift"
"7","AirConditioning","{AGE=InWarranty,MODEL=Opal,USER_CUSTOMISED=N}=>{FAULT_TYPE=AirConditioning}",1.494222e-05,0.001668216,24.91577,5524,0.0009985952,0.5986005,366,"Opal","InWarranty","*","*","N","*","*",FALSE,219396,0.001668216,4,146366.5,165327.5,155847,0.066446963,2.39339853400421e-08,25.105978131762,2.31883652185866e-08,92.0430726483126,0.968540004932683,1,3,0,0,0,0,0,0,371,1,";10;11;14;1",0,0,FALSE,0,0
"12","BreakFluid","{AGE=InWarranty,USER_CUSTOMISED=Y}=>{FAULT_TYPE=BreakFluid}",3.400785e-05,0.01169517,63.05646,1283,0.008372541,0.7158975,833,"*","InWarranty","*","*","Y","*","*",FALSE,71226,0.01169517,5,157587,165735,161661,0.182130167,3.91533731684689e-07,64.2132502958722,3.86560441616521e-07,227.697307256959,0.987011279435921,2,2,2.2190782612461e-07,2.23583256675672e-07,80.84323059027,0.715897588491659,2.31985925419455,0.829965789295923,1000,1,";11;14;1",0,0,FALSE,0,0
"13","BreakFluid","{AGE=InWarranty,MODEL=Ultima}=>{FAULT_TYPE=BreakFluid}",4.372437e-05,0.006393228,34.47016,1315,0.004404649,0.6889553,1071,"Ultima","InWarranty","*","*","*","*","*",FALSE,167521,0.006393228,5,151371,165719,158545,0.182130167,2.7157633975629e-07,35.1025209349311,2.65656562069417e-07,188.387294101473,0.97767589147571,3,2,1.57338177490296e-07,1.58472710155208e-07,70.238713672437,0.688955407190233,2.01497392937508,0.688955407190233,1024,1,";10;11;1",0,0,FALSE,0,0
"17","BreakPad","{AGE=InWarranty,DEALERSHIP=VWDealer}=>{FAULT_TYPE=BreakPad}",5.891155e-05,0.004516361,16.83282,1548,0.002630484,0.5824345,1443,"*","InWarranty","VWDealer","*","*","*","*",FALSE,319505,0.004516361,5,138446,165665,152055.5,0.266306969,2.50377270549958e-07,16.9592294822746,2.38727756748826e-07,147.231199536505,0.953023531564042,5,2,0,0,0,0,0,0,1293,1,";11;12;1",0,0,FALSE,0,0
"39","EngineControl","{AGE=InWarranty,DEALERSHIP=VWFranchise,USER_CUSTOMISED=Y}=>{FAULT_TYPE=EngineControl}",1.032891e-05,0.01035188,197.9411,5072,0.00594338,0.5741352,253,"*","InWarranty","VWFranchise","*","Y","*","*",FALSE,24440,0.01035188,4,162966,165734,164350,0.051751962,1.06389095492979e-07,200.028744803917,1.05962971699251e-07,223.841729433281,0.995941725132427,7,3,5.05386840465664e-08,5.06072036425678e-08,62.208798013238,0.574135036341225,1.14816877014787,0.574135036341225,2072,1,";11;12;14;1",0,0,FALSE,0,0
"40","EngineControl","{AGE=InWarranty,USER_CUSTOMISED=Y}=>{FAULT_TYPE=EngineControl}",1.281928e-05,0.004408503,84.29617,1027,0.00316032,0.7168693,314,"*","InWarranty","*","*","Y","*","*",FALSE,71226,0.004408503,5,159666,165680,162673,0.051751962,5.58504114464126e-08,85.1852341366304,5.53557680566832e-08,161.632931420043,0.99101880341618,8,2,0,0,0,0,0,0,2280,1,";11;14;1",0,0,FALSE,0,0
"41","EngineControl","{AGE=InWarranty,MODEL=Hopper,CUSTOMER_TYPE=Other}=>{FAULT_TYPE=EngineControl}",1.22069e-05,0.00534989,102.2967,5119,0.004244271,0.7933381,299,"Hopper","InWarranty","*","Other","*","*","*",FALSE,55889,0.00534989,4,160686.5,165706.5,163196.5,0.051751962,6.46738412160622e-08,103.375597624685,6.41946858473232e-08,174.114230261495,0.992489085451029,9,3,0,0,0,0,0,0,2289,1,";10;11;13;1",0,0,FALSE,0,0
"43","Exhaust","{AGE=InWarranty,USER_CUSTOMISED=N}=>{FAULT_TYPE=Exhaust}",3.817207e-05,0.001683053,11.00221,1241,0.0004814325,0.2860471,935,"*","InWarranty","*","*","N","*","*",FALSE,555538,0.001683053,5,127244,165389,146316.5,0.150783493,5.84898988800695e-08,11.1620507425173,5.44855763530493e-08,93.0139074650188,0.93020649493484,10,2,0,0,0,0,0,0,2633,1,";11;14;1",0,0,FALSE,0,0
"63","Gearbox","{CUSTOMER_TYPE=Other}=>{FAULT_TYPE=Gearbox}",0.0008716297,0.002519398,2.890445,239,Inf,Inf,21350,"*","*","*","Other","*","*","*",FALSE,8474247,0.002519398,6,83845,165729,124787,0.852589609,1.45283969780481e-06,2.95499496288137,1.46962743846171e-06,166.246088565521,1,11,1,0,0,0,0,0,0,3351,1,";13;1",0,0,FALSE,0,0
"64","Gearbox","{AGE=InWarranty,CUSTOMER_TYPE=Other}=>{FAULT_TYPE=Gearbox}",0.0001574649,0.01235446,14.17398,1998,0.00983506,0.7960738,3857,"*","InWarranty","*","Other","*","*","*",FALSE,312195,0.01235446,5,134286,165735,150010.5,0.852589609,1.81114087093178e-06,14.490512046576,1.70792161742639e-06,220.18951752979,0.941447471532902,12,2,3.5830117312697e-07,2.3829417896468e-07,53.943428964269,0.796073806544357,3.70373505558733,0.796073806544357,3466,1,";11;13;1",0,0,FALSE,0,0
