"","FAULT_TYPE","rules","support","confidence","lift","itemset","improvement","rel_improvement","FAULT_COUNT","MODEL","AGE","DEALERSHIP","CUSTOMER_TYPE","USER_CUSTOMISED","COUNTRY","GEO_TYPE","COMPRESSED","OBJECT_COUNT","FAULT_RATE","AGGREGATION_LEVEL","MIN_RANK","MAX_RANK","SIMPLE_COMBI","AVG_FAULT_RATE","PS_RATIO","LIFT","CHI_SQUARE","BINOMIAL_TEST","ZHANG","row_num","SET_SIZE","min_imp_psr","min_imp_chi","min_imp_bin","min_improvement","min_improvement_adj","max_improvement","LIST_ID","classification","rules_attributes","count_neg","COMBI","suppressed","min_imp_zhang","min_imp_lift","QUALITY_COMBI","ROW_NAME"
"12","BreakFluid","{AGE=InWarranty,USER_CUSTOMISED=Y}=>{FAULT_TYPE=BreakFluid}",3.400785e-05,0.01169517,63.05646,1283,0.008372541,0.7158975,833,"*","InWarranty","*","*","Y","*","*",FALSE,71226,0.01169517,5,157587,165735,161661,0.182130167,3.91533731684689e-07,64.2132502958722,3.86560441616521e-07,227.697307256959,0.987011279435921,6,2,2.2190782612461e-07,2.23583256675672e-07,80.84323059027,0.715897588491659,2.31985925419455,0.829965789295923,1000,1,";11;14;1",0,0,FALSE,0,0,0.610613785930225,"12"
"13","BreakFluid","{AGE=InWarranty,MODEL=Ultima}=>{FAULT_TYPE=BreakFluid}",4.372437e-05,0.006393228,34.47016,1315,0.004404649,0.6889553,1071,"Ultima","InWarranty","*","*","*","*","*",FALSE,167521,0.006393228,5,151371,165719,158545,0.182130167,2.7157633975629e-07,35.1025209349311,2.65656562069417e-07,188.387294101473,0.97767589147571,7,2,1.3117255143321e-07,1.31495727655902e-07,61.473971311002,0.688955407190233,2.01497392937508,0.806402024141795,1024,1,";10;11;1",0,0,FALSE,0,0,0.571990185420709,"13"
"350","BreakFluid","{AGE=InWarranty,MODEL=Hopper,DEALERSHIP=VWFranchise,CUSTOMER_TYPE=Other}=>{FAULT_TYPE=BreakFluid}",1.457479e-05,0.0140601,75.80739,17225,0.005704252,0.4057049,357,"Hopper","InWarranty","VWFranchise","Other","*","*","*",FALSE,25391,0.0140601,3,158966.5,165694.5,162330.5,0.182130167,2.0226849594231e-07,77.1980843788498,1.99855564062298e-07,163.875659176311,0.987832665593172,67,4,4.6431497751109e-08,4.7066657849826e-08,20.679483156336,0.405704938087211,0.48267186219423,0.858752142587891,635,1,";10;11;12;13;1",0,0,FALSE,0,0,0.555389294369873,"350"
"3118","BreakPad","{AGE=InWarranty,MODEL=Opal,DEALERSHIP=VWDealer,USER_CUSTOMISED=N}=>{FAULT_TYPE=BreakPad}",3.564088e-05,0.006779477,25.26763,18259,0.001647931,0.2430765,873,"Opal","InWarranty","VWDealer","*","N","*","*",FALSE,128771,0.006779477,3,146608.5,165660.5,156134.5,0.266306969,2.32135111494467e-07,25.457377347117,2.24195152213851e-07,143.241222790487,0.965499468852122,282,4,-1.8242159055491e-08,-1.4532604534975e-08,-3.98997674601799,0.333818670673269,0.301093744219611,0.916273143193789,1737,1,";10;11;12;14;1",0,0,FALSE,0,0,0.553429910382845,"3118"
"572","BreakFluid","{AGE=InWarranty,MODEL=Hopper,CUSTOMER_TYPE=Other}=>{FAULT_TYPE=BreakFluid}",1.906562e-05,0.008355848,45.05196,5906,0.006367269,0.7620135,467,"Hopper","InWarranty","*","Other","*","*","*",FALSE,55889,0.008355848,4,154552.5,165658.5,160105.5,0.182130167,1.55836998191201e-07,45.8784403354772,1.52788906212472e-07,143.196176019975,0.980039569432672,72,3,4.1598835925207e-08,4.5605054298263e-08,25.047595590939,0.762013502399757,3.00192013765517,0.762327055255194,1010,1,";10;11;13;1",0,0,FALSE,0,0,0.539613429508769,"572"
"64","Gearbox","{AGE=InWarranty,CUSTOMER_TYPE=Other}=>{FAULT_TYPE=Gearbox}",0.0001574649,0.01235446,14.17398,1998,0.00983506,0.7960738,3857,"*","InWarranty","*","Other","*","*","*",FALSE,312195,0.01235446,5,134286,165735,150010.5,0.852589609,1.81114087093178e-06,14.490512046576,1.70792161742639e-06,220.18951752979,0.941447471532902,28,2,3.5830117312697e-07,2.3829417896468e-07,53.943428964269,0.796073806544357,3.70373505558733,0.796073806544357,3466,1,";11;13;1",0,0,FALSE,0,0,0.534771374155682,"64"
"246","BreakFluid","{USER_CUSTOMISED=Y}=>{FAULT_TYPE=BreakFluid}",5.401246e-05,0.003322626,17.9145,153,Inf,Inf,1323,"*","*","*","*","Y","*","*",FALSE,398179,0.003322626,6,140188,165664,152926,0.182130167,1.69625905560079e-07,18.243139259846,1.62977184940849e-07,146.854076666689,0.959781444463405,64,1,0,0,0,0,0,0,445,1,";14;1",0,0,FALSE,0,0,0.533875358593265,"246"
"3643","Gearbox","{AGE=InWarranty,MODEL=Eleganz,CUSTOMER_TYPE=Other,USER_CUSTOMISED=N,COUNTRY=Belgium}=>{FAULT_TYPE=Gearbox}",1.804498e-05,0.01601159,18.36972,39767,0.001996846,0.1247125,442,"Eleganz","InWarranty","*","Other","N","Belgium","*",FALSE,27605,0.01601159,2,140633.5,165523.5,153078.5,0.852589609,2.73543858875587e-07,18.7799497331195,2.59270280417556e-07,86.2938089099959,0.946629431223349,387,5,-1.53759701205619e-06,-1.44865133700883e-06,-133.895708619794,0.228405174002082,0.0960178152206208,0.842651604244176,3645,1,";10;11;13;14;15;1",0,0,FALSE,0,0,0.53185132949992,"3643"
"39","EngineControl","{AGE=InWarranty,DEALERSHIP=VWFranchise,USER_CUSTOMISED=Y}=>{FAULT_TYPE=EngineControl}",1.032891e-05,0.01035188,197.9411,5072,0.00594338,0.5741352,253,"*","InWarranty","VWFranchise","*","Y","*","*",FALSE,24440,0.01035188,4,162966,165734,164350,0.051751962,1.06389095492979e-07,200.028744803917,1.05962971699251e-07,223.841729433281,0.995941725132427,16,3,5.05386840465664e-08,5.06072036425678e-08,62.208798013238,0.574135036341225,1.14816877014787,0.93600854144368,2072,1,";11;12;14;1",0,0,FALSE,0,0,0.531019569308784,"39"
"3645","Gearbox","{AGE=InWarranty,MODEL=Eleganz,CUSTOMER_TYPE=Other,USER_CUSTOMISED=N,GEO_TYPE=NormalUrban}=>{FAULT_TYPE=Gearbox}",3.682482e-05,0.01548578,17.76646,39790,0.0009540136,0.0616058,902,"Eleganz","InWarranty","*","Other","N","*","NormalUrban",FALSE,58247,0.01548578,2,140067.5,165646.5,152857,0.852589609,5.38864602174305e-07,18.1632286348918,5.104106348226e-07,121.001569343597,0.945963654823476,389,5,-1.27227626875747e-06,-1.19751098260379e-06,-99.187948186193,0.20220615299972,0.0534574494217743,0.837308937618899,3648,1,";10;11;13;14;16;1",0,0,FALSE,0,0,0.530134331794945,"3645"
"3507","Gearbox","{AGE=InWarranty,CUSTOMER_TYPE=Other,COUNTRY=Germany}=>{FAULT_TYPE=Gearbox}",1.951471e-05,0.01545675,17.73316,8130,0.003102292,0.2007079,478,"*","InWarranty","*","Other","*","Germany","*",FALSE,30925,0.01545675,4,139922,165542,152732,0.852589609,2.84995954823852e-07,18.129179427989,2.69616017332048e-07,87.9927005955008,0.944801322743611,338,3,-1.52614491610793e-06,-1.43830560009434e-06,-132.196816934289,0.200707781390008,0.05110768920584,0.837003380400149,3428,1,";11;13;15;1",0,0,FALSE,0,0,0.529751120328608,"3507"
"17","BreakPad","{AGE=InWarranty,DEALERSHIP=VWDealer}=>{FAULT_TYPE=BreakPad}",5.891155e-05,0.004516361,16.83282,1548,0.002630484,0.5824345,1443,"*","InWarranty","VWDealer","*","*","*","*",FALSE,319505,0.004516361,5,138446,165665,152055.5,0.266306969,2.50377270549958e-07,16.9592294822746,2.38727756748826e-07,147.231199536505,0.953023531564042,9,2,1.71561515489889e-07,1.61131741612369e-07,85.1889462329677,0.874318217697832,6.75660277409698,0.874318217697832,1293,1,";11;12;1",0,0,FALSE,0,0,0.528924373747548,"17"
"3466","Gearbox","{AGE=InWarranty,MODEL=Eleganz,CUSTOMER_TYPE=Other,USER_CUSTOMISED=N,COUNTRY=Spain,GEO_TYPE=Suburban}=>{FAULT_TYPE=Gearbox}",8.940838e-06,0.01718051,19.71079,58754,0.0024142,0.1405197,219,"Eleganz","InWarranty","*","Other","N","Spain","Suburban",FALSE,12747,0.01718051,1,141891.5,165271.5,153581.5,0.852589609,1.45985291092828e-07,20.1509727759302,1.38812934890132e-07,63.1611554032236,0.94976063711925,324,6,-1.66515557983895e-06,-1.56910868253626e-06,-157.028362126566,0.28090260417182,0.190633099809328,0.853357205344894,3355,1,";10;11;13;14;15;16;1",0,0,FALSE,0,0,0.527763263633189,"3466"
