"","FAULT_TYPE","rules","support","confidence","lift","itemset","improvement","rel_improvement","FAULT_COUNT","MODEL","AGE","DEALERSHIP","CUSTOMER_TYPE","USER_CUSTOMISED","COUNTRY","GEO_TYPE","COMPRESSED","OBJECT_COUNT","FAULT_RATE","AGGREGATION_LEVEL","MIN_RANK","MAX_RANK","SIMPLE_COMBI","AVG_FAULT_RATE","PS_RATIO","LIFT","CHI_SQUARE","BINOMIAL_TEST","ZHANG","row_num","SET_SIZE","min_imp_psr","min_imp_chi","min_imp_bin","min_improvement","min_improvement_adj","max_improvement","LIST_ID","classification","rules_attributes","count_neg","COMBI","suppressed","min_imp_zhang","min_imp_lift","QUALITY_COMBI","ROW_NAME"
"12","BreakFluid","{AGE=InWarranty,USER_CUSTOMISED=Y}=>{FAULT_TYPE=BreakFluid}",3.400785e-05,0.01169517,63.05646,1283,0.008372541,0.7158975,833,"*","InWarranty","*","*","Y","*","*",FALSE,71226,0.01169517,5,157587,165735,161661,0.182130167,3.91533731684689e-07,64.2132502958722,3.86560441616521e-07,227.697307256959,0.987011279435921,2,2,2.2190782612461e-07,2.23583256675672e-07,80.84323059027,0.715897588491659,2.31985925419455,0.829965789295923,1000,1,";11;14;1",0,0,FALSE,0,0,0.607732288444301,"12"
"13","BreakFluid","{AGE=InWarranty,MODEL=Ultima}=>{FAULT_TYPE=BreakFluid}",4.372437e-05,0.006393228,34.47016,1315,0.004404649,0.6889553,1071,"Ultima","InWarranty","*","*","*","*","*",FALSE,167521,0.006393228,5,151371,165719,158545,0.182130167,2.7157633975629e-07,35.1025209349311,2.65656562069417e-07,188.387294101473,0.97767589147571,3,2,1.57338177490296e-07,1.58472710155208e-07,70.238713672437,0.688955407190233,2.01497392937508,0.688955407190233,1024,1,";10;11;1",0,0,FALSE,0,0,0.56175475885607,"13"
"350","BreakFluid","{AGE=InWarranty,MODEL=Hopper,DEALERSHIP=VWFranchise,CUSTOMER_TYPE=Other}=>{FAULT_TYPE=BreakFluid}",1.457479e-05,0.0140601,75.80739,17225,0.005704252,0.4057049,357,"Hopper","InWarranty","VWFranchise","Other","*","*","*",FALSE,25391,0.0140601,3,158966.5,165694.5,162330.5,0.182130167,2.0226849594231e-07,77.1980843788498,1.99855564062298e-07,163.875659176311,0.987832665593172,35,4,4.6431497751109e-08,4.7066657849826e-08,20.679483156336,0.405704938087211,0.48267186219423,0.858752142587891,635,1,";10;11;12;13;1",0,0,FALSE,0,0,0.548441113823046,"350"
"3118","BreakPad","{AGE=InWarranty,MODEL=Opal,DEALERSHIP=VWDealer,USER_CUSTOMISED=N}=>{FAULT_TYPE=BreakPad}",3.564088e-05,0.006779477,25.26763,18259,0.001647931,0.2430765,873,"Opal","InWarranty","VWDealer","*","N","*","*",FALSE,128771,0.006779477,3,146608.5,165660.5,156134.5,0.266306969,2.32135111494467e-07,25.457377347117,2.24195152213851e-07,143.241222790487,0.965499468852122,196,4,-1.8242159055491e-08,-1.4532604534975e-08,-3.98997674601799,0.333818670673269,0.301093744219611,0.333818670673269,1737,1,";10;11;12;14;1",0,0,FALSE,0,0,0.541231692145027,"3118"
"246","BreakFluid","{USER_CUSTOMISED=Y}=>{FAULT_TYPE=BreakFluid}",5.401246e-05,0.003322626,17.9145,153,Inf,Inf,1323,"*","*","*","*","Y","*","*",FALSE,398179,0.003322626,6,140188,165664,152926,0.182130167,1.69625905560079e-07,18.243139259846,1.62977184940849e-07,146.854076666689,0.959781444463405,32,1,0,0,0,0,0,0,445,1,";14;1",0,0,FALSE,0,0,0.519805913200593,"246"
"63","Gearbox","{CUSTOMER_TYPE=Other}=>{FAULT_TYPE=Gearbox}",0.0008716297,0.002519398,2.890445,239,Inf,Inf,21350,"*","*","*","Other","*","*","*",FALSE,8474247,0.002519398,6,83845,165729,124787,0.852589609,1.45283969780481e-06,2.95499496288137,1.46962743846171e-06,166.246088565521,1,11,1,0,0,0,0,0,0,3351,1,";13;1",0,0,FALSE,0,0,0.504481221231703,"63"
"853","EngineControl","{MODEL=Hopper,DEALERSHIP=VWFranchise,CUSTOMER_TYPE=Other,USER_CUSTOMISED=Y}=>{FAULT_TYPE=EngineControl}",1.641195e-05,0.002144332,41.00234,15629,9.698406e-06,0.004522811,402,"Hopper","*","VWFranchise","Other","Y","*","*",FALSE,187471,0.002144332,3,153467,165610,159538.5,0.051751962,3.43433189546541e-08,41.4347962305275,3.37729585261807e-08,125.949646973852,0.983135721926111,48,4,0,0,0,0,0,0,2062,1,";10;12;13;14;1",0,0,FALSE,0,0,0.499340247306553,"853"
"864","EngineControl","{DEALERSHIP=VWFranchise,USER_CUSTOMISED=Y,GEO_TYPE=Suburban}=>{FAULT_TYPE=EngineControl}",1.09413e-05,0.002130484,40.73756,5115,9.836114e-06,0.004616844,268,"*","*","VWFranchise","*","Y","*","Suburban",FALSE,125793,0.002130484,4,153409,165468,159438.5,0.051751962,2.27440308473694e-08,41.1672121725549,2.2306104594733e-08,102.488367470343,0.980488019707144,49,3,0,0,0,0,0,0,2091,1,";12;14;16;1",0,0,FALSE,0,0,0.49461335419117,"864"
"575","BreakFluid","{MODEL=Hopper,DEALERSHIP=VWFranchise,CUSTOMER_TYPE=Other}=>{FAULT_TYPE=BreakFluid}",3.384454e-05,0.002578546,13.90266,5922,0.0005925868,0.2298143,829,"Hopper","*","VWFranchise","Other","*","*","*",FALSE,321499,0.002578546,4,133651.5,165449.5,149550.5,0.182130167,8.11055915166018e-08,14.1577095243096,7.63793865227267e-08,100.693306753997,0.940414684129214,41,3,-1.04322279743494e-08,-8.9438194910217e-09,-5.06009069143599,0.229814399277733,0.0983887501987784,0.229814399277733,1020,1,";10;12;13;1",0,0,FALSE,0,0,0.487707812512138,"575"
"129","TurboCharger","{CUSTOMER_TYPE=Private}=>{FAULT_TYPE=TurboCharger}",0.001232815,0.00236369,1.64527,266,Inf,Inf,30197,"*","*","*","Private","*","*","*",FALSE,12775364,0.00236369,6,58538,165721,112129.5,1.405209514,1.18162912034809e-06,1.68209080315122,1.00149759227223e-06,91.4544259551833,0.819747570964874,20,1,0,0,0,0,0,0,6145,1,";13;1",0,0,FALSE,0,0,0.397680861019758,"129"
