AGE;MODEL;DEALERSHIP;CUSTOMER_TYPE;USER_CUSTOMISED;COUNTRY;GEO_TYPE;FAULT_TYPE;OBJECT_COUNT;EVENT_COUNT;EVENT_RATE;AGGREGATION_LEVEL;SUBSET_TYPE;SIGNIFICANCE
In Warranty;*;*;Other;*;*;*;Gearbox;320838;3858;12,02476016;5;minimal;1
*;*;*;*;Y;*;*;Break Fluid;414570;1323;3,191258412;6;singleton;1
*;*;*;*;*;*;Super Rural;Turbo Charger;821398;2457;2,991241761;6;singleton;1
*;Eleganz;*;*;*;*;*;Gearbox;7812398;19742;2,527008993;6;maximal;0
*;Opal;*;*;*;*;*;Turbo Charger;7691446;18520;2,40786973;6;maximal;0
*;*;Franchise;*;*;*;*;Gearbox;5023049;11466;2,282677314;6;maximal;0
*;Lamura;*;*;*;*;*;Turbo Charger;6111010;10094;1,651772784;6;maximal;0
*;*;Dodgy Dealer;*;*;*;*;Gearbox;3765571;9343;2,481164211;6;maximal;0
*;Ultima;*;*;*;*;*;Turbo Charger;2662995;6548;2,458885578;6;singleton;1
*;*;*;Other;*;*;*;Gearbox;8857185;21351;2,410585304;6;singleton;1
*;*;*;*;Unknown;*;*;Turbo Charger;2885020;5822;2,018010274;6;maximal;0
*;*;*;Private;*;*;*;Turbo Charger;12877214;30197;2,34499481;6;singleton;1
*;*;*;*;*;*;Very Rural;Turbo Charger;1852317;4313;2,328435144;6;singleton;1
*;*;Branch;*;*;*;*;Turbo Charger;11335551;25117;2,215772308;6;singleton;1
In Warranty;*;*;*;Y;*;*;Break Fluid;73294;833;11,36518678;5;singleton;1
In Warranty;*;*;*;*;*;*;Gearbox;802419;3858;4,807961925;6;maximal;0
*;Hopper;*;*;*;*;*;Break Fluid;636595;1244;1,954146671;6;singleton;1
In Warranty;*;*;Private;*;*;*;Turbo Charger;391183;3690;9,432925255;5;singleton;1
In Warranty;*;Branch;*;*;*;*;Turbo Charger;324110;2888;8,910555058;5;singleton;1
*;*;*;*;*;Belgium;*;Turbo Charger;2786831;5018;1,800611519;6;singleton;1
*;Hopper;*;*;*;*;*;Gearbox;636595;1609;2,527509641;6;maximal;0
*;*;Re-Import;*;*;*;*;Turbo Charger;4918358;8607;1,74997428;6;singleton;1
*;*;*;*;*;Spain;*;Turbo Charger;2756716;4732;1,716535182;6;singleton;1
*;*;*;*;*;Germany;*;Turbo Charger;2087434;3541;1,696341058;6;singleton;1
*;*;*;*;*;*;Rural;Turbo Charger;2175411;3549;1,631415857;6;singleton;1
*;*;*;*;Y;*;*;Turbo Charger;414570;726;1,751212099;6;maximal;0
Out of Warranty;*;*;Private;*;*;*;Turbo Charger;12486031;26507;2,122932419;5;singleton;0
*;*;*;Private;N;*;*;Turbo Charger;10352160;23875;2,306281974;5;singleton;0
*;*;Branch;Private;*;*;*;Turbo Charger;9496799;22741;2,394596327;5;singleton;0
Out of Warranty;*;Branch;*;*;*;*;Turbo Charger;11011441;22229;2,018718531;5;singleton;0
*;Eleganz;*;Other;*;*;*;Gearbox;7812398;19742;2,527008993;5;redundant;0
*;Eleganz;*;*;N;*;*;Gearbox;7812398;19742;2,527008993;5;redundant;0
*;*;*;Other;N;*;*;Gearbox;8220584;19742;2,401532543;5;maximal;0
*;*;Branch;*;N;*;*;Turbo Charger;8940155;19167;2,143922561;5;singleton;0
*;Opal;*;*;N;*;*;Turbo Charger;7691446;18520;2,40786973;5;minimal;1
Out of Warranty;*;*;Other;*;*;*;Gearbox;8536347;17493;2,049237221;5;singleton;1
*;Opal;*;Private;*;*;*;Turbo Charger;6469459;16486;2,548281085;5;maximal;0
Out of Warranty;Eleganz;*;*;*;*;*;Gearbox;7559666;16304;2,15670904;5;maximal;0
Out of Warranty;Opal;*;*;*;*;*;Turbo Charger;7468769;16163;2,164078177;5;maximal;0
*;Opal;Branch;*;*;*;*;Turbo Charger;5088667;12477;2,451919137;5;maximal;0
